lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Aduard Gn,382,3679,k r ɔ ʔ ŋ,6,2.877756118774414
Aduard Gn,387,3684,l ɔ ə t n,6,4.885766983032227
Aduard Gn,389,3686,l e˞ n,4,3.9409000873565674
Aduard Gn,398,3695,m ɑ i n,5,3.5778794288635254
Aduard Gn,420,3717,s x ɵ d n,6,3.6618213653564453
Aduard Gn,425,3722,s l y ʔ n,6,3.60467267036438
Aduard Gn,439,3736,s t e ʔ ŋ,6,3.109445571899414
Aduard Gn,480,3778,z ʌ y ʔ ŋ,6,4.4952006340026855
Aduard Gn,482,3780,z ɔ ɫ t ʔ n,7,3.9336912631988525
Aduard Gn,485,3783,z ʋ ɛ m,5,4.340569972991943
Aduard Gn,520,3819,ʔ ɔ m,4,3.6622095108032227
Aduard Gn,528,3827,t ɵ s n,5,4.350971221923828
Aduard Gn,541,3840,ʋ ʊ n z d ɑ χ,8,5.402798175811768
Aduard Gn,546,3845,z ø m t ɨ x,7,5.603212833404541
Afferden Lb,5,3853,b a ʁ d ə,6,4.3488240242004395
Afferden Lb,23,3869,d a k ə,5,3.8486838340759277
Afferden Lb,29,3875,d i v ə,5,3.9858028888702393
Afferden Lb,34,3881,d u v ə,5,4.374874591827393
Afferden Lb,36,3883,e u w ə,5,5.328879356384277
Afferden Lb,43,3890,x ɑ l,4,4.604270935058594
Afferden Lb,59,3906,ɦ ɪ m ə l,6,3.9021246433258057
Afferden Lb,72,3920,k ɑ l ə v ə χ,8,3.9783318042755127
Afferden Lb,74,3922,k ɑ m ə ʁ s,7,3.6964879035949707
Afferden Lb,76,3924,k ɑ ʁ ə,5,3.7378299236297607
Afferden Lb,77,3925,k ɑ s t ə,6,3.2710158824920654
Afferden Lb,81,3929,k æ ʀ v ə l,7,5.380565166473389
Afferden Lb,83,3931,k l e v ə χ,7,4.263685703277588
Afferden Lb,91,3938,k ɔ ʀ t s,6,5.044773101806641
Afferden Lb,105,3950,m ɒ n t,5,4.504693031311035
Afferden Lb,107,3952,m a z ə l ə,7,3.784618854522705
