"","lang","avg_len","lstm","longitude","latitude"
"421","Rhenen Ut",4.7765237020316,2.99511173793248,5.57615,51.9557
"422","Rijkevoort NB",4.61764705882353,3.03465993780839,5.89374,51.6681
"424","Rijsbergen NB",4.64705882352941,2.86875728138706,4.70554,51.5182
"425","Rijssen Ov",4.62945368171021,3.27041315149378,6.50784,52.3167
"426","Rilland Ze",5.01126126126126,2.96248626708984,4.1782,51.4149
"427","Rinsumageest Fr - Rinsumageast Fr",4.82512315270936,3.07009185791016,5.95617,53.3146
"428","Roderwolde Dr",4.55022831050228,2.92921393258231,6.47391,53.1721
"429","Roermond Lb",4.75115207373272,3.12682201244213,5.9977,51.1992
"431","Roggel Lb",4.61590909090909,3.1192412794682,5.95047,51.2724
"433","Roodeschool Gn",4.63718820861678,2.93536044034091,6.76086,53.4218
"434","Roosendaal NB",4.86727688787185,2.79019982474191,4.46934,51.5372
"435","Rossum Ov",4.23820754716981,3.14201581036603,6.9289,52.3587
"436","Roswinkel Dr",4.63431151241535,2.95374516078404,7.03682,52.8503
"437","Rotterdam ZH",4.74215246636771,2.98308308919271,4.47958,51.925
"438","Rottevalle Fr - Rottefalle Fr",4.72660098522168,3.08569874482996,6.1141,53.1464
"439","Rouveen Ov",4.57692307692308,3.07870810372489,6.1929,52.6172
"440","Rozendaal Gl",4.6,3.0537839617048,5.98348,52.0111
"441","Ruinen Dr",4.662100456621,3.03544783158736,6.36254,52.7627
"442","Ruurlo Gl",4.45667447306792,3.22009063185307,6.45406,52.0888
"445","s-Heerenberg Gl",4.41935483870968,2.91050720214844,6.24914,51.8792
"446","s-Heerenbroek Ov",5.1,2.83463495427912,6.01515,52.54
"448","s-Hertogenbosch NB",4.62929061784897,2.90394993832237,5.31826,51.7044
"449","Schagen NH",4.82528735632184,3.0327946799142,4.7975,52.7814
"450","Scheemda Gn",4.79726651480638,3.02010733621162,6.97615,53.1777
"451","Schelluinen ZH",4.98648648648649,3.00183359781901,4.92598,51.8509
"452","Scherpenzeel Fr",4.53020134228188,3.02194802802906,5.88096,52.8348
"453","Scheveningen ZH",5.03196347031963,2.741149357387,4.27296,52.1049
"454","Schiermonnikoog Fr - Skiermantseach Fr",4.82107843137255,3.00452540471004,6.16734,53.4832
"455","Schinnen Lb",4.56603773584906,3.11673549436173,5.89763,50.9447
"456","Schoonebeek Dr",4.48946135831382,2.91069557883523,6.89103,52.6677
"457","Schoonoord Dr",4.45823927765237,2.85477883475167,6.76854,52.8484
"458","Sellingen Gn",4.36091954022988,3.18349315502025,7.14603,52.9541
"459","Serooskerke Ze",4.81651376146789,2.91677267509594,3.59155,51.551
"460","Sevenum Lb",4.65437788018433,3.02749794407895,6.04251,51.4187
"461","Sexbierum Fr - Seisbierrum Fr",4.76059850374065,3.04353009737455,5.48152,53.2474
"462","Silvolde Gl",4.76629213483146,3.10895685564008,6.38186,51.914
"463","Sint Annaparochie Fr - Sint Anne Fr",4.58604651162791,3.19092157537287,5.6438,53.2811
"464","Sint Jansteen Ze",4.73198198198198,3.05406733921596,4.05104,51.2629
"465","Sint Maartensdijk Ze",4.85972850678733,2.83528194787367,4.07811,51.5497
"466","Sint-Annen Gn",4.42619047619048,3.08633311878551,6.65564,53.303
"469","Sint-Oedenrode NB",4.62528216704289,3.03539985522889,5.48551,51.5685
"470","Sittard Lb",4.50943396226415,3.09429988154659,5.87757,51.0068
"471","Slagharen Ov",4.44930875576037,3.02005740574428,6.55782,52.63
"472","Sliedrecht ZH",4.70294784580499,2.90342875889369,4.77437,51.8228
"473","Slochteren Gn",4.48970251716247,2.98658558238636,6.80239,53.2098
"474","Sloten Fr - Sleat Fr",4.76699029126214,3.00874587724794,5.64207,52.9004
